,Code,Name,Marcap,Assets,Liabilities,Equity,Profit,P/E,PER
379,032960,동일기연,48520497250.0,61351078355,4986986964,56364091391,3470096437.0,0.8608405822318917,13.982463637796588
452,011170,롯데케미칼,7523454470500.0,20996695052348,6603837355450,14392857696898,537900000000.0,0.5227213822951562,13.986715877486521
536,046310,백금T&A,63129674645.0,102167968779,43935245794,58232722985,4505534587.0,1.084092781669533,14.011583625869966
1243,044380,주연테크,65534506800.0,60934892427,18636826461,42298065966,4628177229.0,1.5493499597044909,14.159895690545952
767,010280,쌍용정보통신,58143306906.0,111796455302,88109392210,23687063092,4103805087.0,2.4546439835184612,14.168145336674465
656,122690,서진오토모티브,54813195030.0,882726705261,732900045957,149826659304,3845367807.0,0.3658440713063181,14.254343870622622
1087,002920,유성기업,86405175000.0,404320346042,105561370720,298758975322,6043719845.0,0.2892136542738949,14.296687671829037
1437,036580,팜스코,220734937430.0,1032684897735,713074852326,319610045409,15409297981.0,0.6906382968893513,14.324788689411482
1181,020760,일진디스플,112021929500.0,130303717243,85263108312,45040608931,7761978583.0,2.487131771944116,14.432135866149684
20,375500,DL이앤씨,2545674047000.0,8185000920067,4163956253889,4021044666178,174571000000.0,0.6330877317559522,14.582456690973872
88,000680,LS네트웍스,256897832160.0,1222876430428,712050896582,510825533846,17616868301.0,0.5029071867763127,14.582491494553405
290,007720,대명소노시즌,141120630000.0,217075258648,65697531384,151377727264,9662456665.0,0.9322417012767551,14.60504661419871
16,000590,CS홀딩스,74233192600.0,331204701895,32632133717,298572568178,5077336991.0,0.2486269688236878,14.620497463844625
505,095500,미래나노텍,116274694515.0,375392140022,159047618871,216344521151,7940708523.0,0.5374515328439716,14.642861424545957
13,023460,CNH,124434000000.0,599663160092,458351395681,141311764411,8375266115.0,0.8805636283620969,14.857318954575092
843,161000,애경유화,406908000000.0,590153204344,182252680783,407900523561,27133754429.0,0.9975667509511015,14.996376600397955
1037,010400,우진아이엔에스,60518680000.0,117318960132,20500075399,96818884733,3999523447.0,0.6250710299637717,15.13147273718183
802,227610,아우딘퓨쳐스,30828598720.0,53467458422,35466022789,18001435633,2001104132.0,1.7125633393086388,15.405794344739277
124,006120,SK디스커버리,910009469000.0,6209078242256,3291906454313,2917171787943,58761287837.0,0.3119492217637548,15.486547393656641
687,058650,세아홀딩스,444000000000.0,5101611887588,2351631897928,2749979989660,28536872474.0,0.1614557202850392,15.558817820857183
759,004080,신흥,152475000000.0,135553285350,36106644715,99446640635,9760861221.0,1.5332342955618834,15.621060124485505
285,008060,대덕,259937450500.0,1648137941237,307034288284,1341103652953,16629994586.0,0.19382353476380376,15.630639514388594
613,002450,삼익악기,162955647000.0,611441594828,378106032155,233335562673,10405219289.0,0.6983746717956084,15.660952688644484
836,061040,알에프텍,182587883710.0,260222331964,80922641784,179299690180,11636101472.0,1.018339092090449,15.691499781895336
1324,123410,코리아에프티,105656837880.0,382171252858,246238777185,135932475673,6712489350.0,0.7772744324481277,15.740336017069435
1023,082850,우리바이오,187017485850.0,688730800873,529254792551,159476008322,11850946647.0,1.172699817469664,15.780805653811834
565,100220,비상교육,120609756480.0,269361644677,68186160332,201175484345,7638936760.0,0.5995251204324868,15.788814630794247
215,035460,기산텔레콤,39358818000.0,69651381116,37060034077,32591347039,2491762488.0,1.2076462489538036,15.79557369113103
911,089970,에이피티씨,362619103500.0,139101494675,36435042221,102666452454,22928062734.0,3.532011624366514,15.815514276409953
356,005960,동부건설,329713238000.0,1029964401397,567845426733,462118974664,20825337691.0,0.7134812809617473,15.832311720087535
577,238200,비피도,89162000000.0,55044485001,3257570486,51786914515,5618709400.0,1.7217090617394162,15.868768724718171
681,004360,세방,230738845500.0,1186676816286,322520859098,864155957188,14446899172.0,0.26701065193235946,15.971513523621898
936,031860,엔에스엔,69520075845.0,61045979128,13085102731,47960876397,4336597236.0,1.4495163780899665,16.031019728528925
1307,064820,케이프,143693035200.0,2746451363969,2526822310736,219629053233,8950320119.0,0.6542533106836234,16.054513502256107
1386,009410,태영건설,420110258400.0,3721047780314,3056801754569,664246025745,26124999553.0,0.6324618320882175,16.080775716291168
1117,258610,이더블유케이,93105265440.0,145360672138,78956640160,66404031978,5736470360.0,1.4021025932709366,16.230409920570043
740,016590,신대양제지,346964230200.0,806393364631,200866513692,605526850939,21365214431.0,0.5729956147476485,16.239679284312256
331,005880,대한해운,866566803900.0,3434365245775,2491532427752,942832818023,52910234002.0,0.9191097163090695,16.378056537554603
174,013580,계룡건설,328657377600.0,2294072920407,1673950044395,620122876012,20046384346.0,0.5299875078203697,16.394845670290632
296,117580,대성에너지,239800000000.0,700204200837,378093613463,322110587374,14570239053.0,0.7444648186045811,16.458206288017312
615,037460,삼지전자,195006337900.0,839676912294,472462111522,367214800772,11815397425.0,0.5310416069560265,16.504424767582456
1050,012620,원일특강,55220000000.0,244234253969,122738745013,121495508956,3344946769.0,0.4545023966276655,16.508483935159447
74,058850,KTcs,112688400000.0,348203782930,177816324045,170387458885,6815038130.0,0.661365576653485,16.535255981025596
7,001040,CJ,2838921905400.0,40602178798000,24737714236000,15864464562000,171488000000.0,0.17894848542194375,16.554638840035455
1608,267250,현대중공업지주,4881772653000.0,27821941243000,16712483111000,11109458132000,294425000000.0,0.4394249111879186,16.580700188503016
728,192440,슈피겐코리아,277871426100.0,412206718178,62956177097,349250541081,16752401243.0,0.7956220346572194,16.586961001552464
1504,002200,한국수출포장,101000000000.0,314404475238,60040241459,254364233779,6081063606.0,0.39706840265818233,16.608936617657868
1531,060980,한라홀딩스,523079896500.0,2081948680036,1172025142315,909923537721,31397253421.0,0.5748613755064619,16.66005269588769
325,006650,대한유화,1176500000000.0,2285530493247,338951409951,1946579083296,70608843289.0,0.6043936309065433,16.66221885528727
466,222810,마이더스AI,41180249352.0,58161693986,22342922686,35818771300,2459528580.0,1.1496834720290923,16.743147319719295
1636,081660,휠라홀딩스,2247832214000.0,3996670703168,1955655165879,2041015537289,134201000000.0,1.1013302804082061,16.749742654674705
743,004970,신라교역,199200000000.0,629369179683,107172785820,522196393863,11830390931.0,0.38146567525370695,16.83798964563566
179,002240,고려제강,588800000000.0,2314434942979,802035689887,1512399253092,34872684021.0,0.38931518829848494,16.884275372822756
781,096530,씨젠,2778422880800.0,1228990573377,458064251991,770926321386,164246000000.0,3.604005731448951,16.91622858882408
399,092200,디아이씨,199498358970.0,620864221689,537595116025,83269105664,11750585975.0,2.395826848134983,16.977737058768255
301,047040,대우건설,2514516959900.0,9836532219282,6973376687960,2863155531322,147861000000.0,0.8782327513793763,17.00595126436315
317,012800,대창,182280998000.0,682742545981,451392055181,231350490800,10690575569.0,0.787899767878945,17.05062527489814
73,044450,KSS해운,273593384000.0,1244654148560,955165983863,289488164697,16005257788.0,0.9450935042072043,17.093969220859886
582,003960,사조대림,245607715600.0,1147956090816,680089745166,467866345650,14290289472.0,0.524952730375981,17.187035719691824
992,001800,오리온홀딩스,1005459023100.0,4546973722131,979592311756,3567381410375,58483013356.0,0.2818479179646527,17.192325863572247
1612,057050,현대홈쇼핑,832800000000.0,2619572152530,796337376286,1823234776244,48424847144.0,0.45677057658785464,17.197782731735202
