Num,Name,Value,Weight,Share
515,오텍,48.214062,3.6988E-05,2.68
516,한화투자증권,47.7616741,3.6641E-05,1.08
517,다나와,47.47581,3.64217E-05,1.52
518,대한약품,47.259147,3.62555E-05,2.49
519,일동제약,46.77605,3.58848E-05,1.23
520,삼양패키징,46.6818975,3.58126E-05,2.09
521,NPC,46.5178434,3.56868E-05,3.38
522,엘앤에프,46.44181,3.56284E-05,0.85
523,경동도시가스,45.9971125,3.52873E-05,3.67
524,유비쿼스,45.953188,3.52536E-05,3.16
525,제일약품,45.848024,3.51729E-05,0.86
526,강남제비스코,45.7290955,3.50817E-05,3.46
527,에스티아이,45.65269,3.5023E-05,1.4
528,셀트리온제약,45.460754,3.48758E-05,0.34
529,세경하이테크,45.165141,3.4649E-05,1.09
530,삼양통상,44.980707,3.45075E-05,2.5
531,대림씨엔에스,44.8640454,3.4418E-05,4.62
532,비츠로셀,44.75198,3.4332E-05,1.55
533,풍산홀딩스,44.505055,3.41426E-05,1.67
534,대한제분,44.381275,3.40477E-05,1.78
535,덕산테코피아,44.118919,3.38464E-05,1.25
536,한솔테크닉스,43.949934,3.37167E-05,1.53
537,금화피에스시,43.9373,3.37071E-05,2.48
538,코리아써키트,43.555121,3.34139E-05,1.54
539,종근당바이오,43.323405,3.32361E-05,2.81
540,오로라,43.3001205,3.32182E-05,2.95
541,한진중공업홀딩스,43.0916171,3.30583E-05,5.63
542,나노신소재,42.772875,3.28138E-05,2.36
543,우리산업,42.676392,3.27397E-05,2.29
544,인바디,42.244103,3.24081E-05,1.31
545,세종공업,42.0868197,3.22874E-05,4.03
546,두산퓨얼셀,42.0722652,3.22763E-05,0.87
547,하나제약,42.064319,3.22702E-05,1.15
548,엘앤씨바이오,42.011136,3.22294E-05,2.23
549,NHN한국사이버결제,41.937354,3.21728E-05,0.82
550,사조씨푸드,41.3753647,3.17416E-05,4.54
551,디아이씨,41.230881,3.16308E-05,5.12
552,삼광글라스,40.64613,3.11822E-05,2.75
553,서연이화,40.5076644,3.1076E-05,3.04
554,청담러닝,40.278,3.08998E-05,2.8
555,포스코 ICT,40.0211247,3.07027E-05,0.5
556,셀트리온헬스케어,39.5433,3.03361E-05,0
557,디피씨,39.3116977,3.01585E-05,1.82
558,안랩,38.99739,2.99173E-05,0.59
559,SK이노베이션우,38.6568,2.96561E-05,2.76
560,올릭스,38.6264,2.96327E-05,1.4
561,농우바이오,38.4230325,2.94767E-05,2.02
562,태림포장,38.4032975,2.94616E-05,1.28
563,KG모빌리언스,37.9554888,2.9118E-05,2.07
564,인탑스,37.883817,2.9063E-05,1.71
565,세진중공업,37.8413805,2.90305E-05,2.15
566,상신브레이크,37.5972948,2.88432E-05,4.99
567,예스코홀딩스,37.565308,2.88187E-05,1.67
568,대한제당,37.40625,2.86967E-05,2.12
569,글로벌텍스프리,37.1446828,2.8496E-05,2.67
570,부광약품,36.492911,2.7996E-05,0
571,금호타이어,36.33855825,2.78776E-05,0.3
572,한국금융지주우,36.273283,2.78275E-05,1.4
573,IHQ,36.2231637,2.77891E-05,1.42
574,동부건설,35.9964416,2.76151E-05,1.93
575,삼성SDI우,35.988693,2.76092E-05,2.41
576,웹젠,35.726014,2.74077E-05,0.62
577,한국공항,35.3803,2.71424E-05,2.47
578,에스티팜,35.240288,2.7035E-05,0.63
579,동원개발,35.0106559,2.68589E-05,0.94
580,신세계건설,34.996095,2.68477E-05,3.33
581,압타바이오,34.6,2.65438E-05,0.92
582,삼호개발,34.352843,2.63542E-05,3.09
583,바텍,34.23846,2.62665E-05,0.79
584,신흥에스이씨,33.919808,2.6022E-05,1.35
585,기신정기,33.6391005,2.58067E-05,3.05
586,이연제약,33.6136,2.57871E-05,1.25
587,칩스앤미디어,33.32,2.55619E-05,4.72
588,코미코,32.78808,2.51538E-05,1.34
589,레이,32.720688,2.51021E-05,1.15
590,코스모신소재,32.365295,2.48294E-05,1.24
591,잇츠한불,32.280022,2.4764E-05,0.76
592,삼호,32.250295,2.47412E-05,1.07
593,코오롱글로벌,32.2185717,2.47169E-05,1.32
594,에이블씨엔씨,31.9880975,2.45401E-05,1.15
595,태경산업,31.8719638,2.4451E-05,1.91
596,조선선재,31.847256,2.4432E-05,3.07
597,인선이엔티,31.6199104,2.42576E-05,0.99
598,대원미디어,31.3852725,2.40776E-05,3.7
599,AJ네트웍스,30.948687,2.37427E-05,1.33
600,한양이엔지,30.399696,2.33215E-05,1.37
601,제이에스코퍼레이션,29.693049,2.27794E-05,1.77
602,쎄트렉아이,29.3695,2.25312E-05,2.08
603,유안타증권,29.268267,2.24535E-05,0.51
604,아난티,28.967432,2.22227E-05,0.33
605,경인양행,28.5491448,2.19018E-05,0.9
606,KTB투자증권,28.5206404,2.188E-05,2.02
607,KPX홀딩스,28.464256,2.18367E-05,1.24
608,디와이파워,28.44463,2.18217E-05,2.55
609,민앤지,28.405,2.17913E-05,1.5
610,한국제지,28.3055575,2.1715E-05,3.32
611,코윈테크,28.2708635,2.16883E-05,1.23
612,멀티캠퍼스,28.2449475,2.16685E-05,1.38
613,에이치엘사이언스,28.184175,2.16218E-05,1
614,서울옥션,28.167615,2.16091E-05,2.9
615,신풍제약,28.0731724,2.15367E-05,0.73
616,뉴트리,27.8619165,2.13746E-05,2.2
617,상상인,27.8567967,2.13707E-05,0.58
618,알루코,27.7460757,2.12858E-05,1.36
619,대동공업,27.6477976,2.12104E-05,2.05
620,KC그린홀딩스,27.3718642,2.09987E-05,2.53
621,에스앤에스텍,26.535732,2.03572E-05,1.1
622,대현,26.48943995,2.03217E-05,2.4
